fecha,valor,idVariable
2026-04-15,25.82,145
2026-04-14,25.79,145
2026-04-13,26.21,145
2026-04-10,26.76,145
2026-04-09,26.49,145
2026-04-08,26.34,145
2026-04-07,26.31,145
2026-04-06,26.6,145
2026-04-01,25.69,145
2026-03-31,26.97,145
2026-03-30,26.0,145
2026-03-27,26.5,145
2026-03-26,26.25,145
2026-03-25,26.43,145
2026-03-20,27.13,145
2026-03-19,26.6,145
2026-03-18,27.42,145
2026-03-17,28.57,145
2026-03-16,28.45,145
2026-03-13,29.22,145
2026-03-12,27.82,145
2026-03-11,28.2,145
2026-03-10,28.63,145
2026-03-09,27.4,145
2026-03-06,28.08,145
2026-03-05,28.27,145
2026-03-04,28.24,145
2026-03-03,29.51,145
2026-03-02,31.16,145
2026-02-27,30.97,145
2026-02-26,35.21,145
2026-02-25,38.75,145
2026-02-24,43.65,145
2026-02-23,47.19,145
2026-02-20,49.51,145
2026-02-19,49.11,145
2026-02-18,40.55,145
2026-02-13,40.14,145
2026-02-12,35.21,145
2026-02-11,30.75,145
2026-02-10,31.25,145
2026-02-09,32.14,145
2026-02-06,32.97,145
2026-02-05,34.08,145
2026-02-04,35.64,145
2026-02-03,39.52,145
2026-02-02,36.85,145
2026-01-30,33.07,145
2026-01-29,34.63,145
2026-01-28,32.49,145
2026-01-27,34.71,145
2026-01-26,40.37,145
2026-01-23,45.14,145
2026-01-22,46.58,145
2026-01-21,46.65,145
2026-01-20,47.44,145
2026-01-19,47.66,145
2026-01-16,47.8,145
2026-01-15,48.28,145
2026-01-14,50.81,145
2026-01-13,49.99,145
2026-01-12,41.58,145
2026-01-09,42.65,145
2026-01-08,46.44,145
2026-01-07,47.08,145
2026-01-06,45.4,145
2026-01-05,40.3,145
2026-01-02,56.52,145
2025-12-30,59.35,145
2025-12-29,33.76,145
2025-12-26,31.25,145
2025-12-23,29.27,145
2025-12-22,25.81,145
2025-12-19,25.46,145
2025-12-18,24.91,145
2025-12-17,24.45,145
2025-12-16,26.17,145
2025-12-15,25.44,145
2025-12-12,25.8,145
2025-12-11,25.42,145
2025-12-10,25.6,145
2025-12-09,24.83,145
2025-12-05,24.8,145
2025-12-04,25.99,145
2025-12-03,27.07,145
2025-12-02,28.04,145
2025-12-01,32.62,145
2025-11-28,32.57,145
2025-11-27,33.93,145
2025-11-26,34.06,145
2025-11-25,33.85,145
2025-11-20,34.69,145
2025-11-19,35.41,145
2025-11-18,36.61,145
2025-11-17,37.75,145
2025-11-14,37.5,145
2025-11-13,37.65,145
2025-11-12,38.79,145
2025-11-11,39.75,145
2025-11-10,39.62,145
2025-11-07,41.07,145
2025-11-05,42.76,145
2025-11-04,45.9,145
2025-11-03,49.2,145
2025-10-31,61.52,145
2025-10-30,67.74,145
2025-10-29,84.43,145
2025-10-28,135.36,145
2025-10-27,89.56,145
2025-10-24,86.48,145
2025-10-23,61.7,145
2025-10-22,58.04,145
2025-10-21,59.38,145
2025-10-20,67.18,145
2025-10-17,85.02,145
2025-10-16,144.8,145
2025-10-15,190.76,145
2025-10-14,129.5,145
2025-10-13,83.67,145
2025-10-09,79.29,145
2025-10-08,66.87,145
2025-10-07,52.92,145
2025-10-06,46.13,145
2025-10-03,45.06,145
2025-10-02,44.54,145
2025-10-01,44.38,145
2025-09-30,44.02,145
2025-09-29,45.16,145
2025-09-26,48.07,145
2025-09-25,50.05,145
2025-09-24,51.66,145
2025-09-23,54.76,145
2025-09-22,53.39,145
2025-09-19,50.43,145
2025-09-18,49.34,145
